"","occurrence_no","record_type","collection_no","taxon_name","taxon_rank","taxon_no","matched_name","matched_rank","matched_no","early_interval","early_age","late_age","reference_no","lng","lat","family","family_no","order","order_no","class","class_no","phylum","phylum_no","genus_name","species_name","genus","genus_no","reid_no","genus_reso","late_interval","species_reso"
"1:1",144305,"occurrence",10760,"Dromaeosauridae indet.","family",38561,"Dromaeosauridae","family",38561,"Late Maastrichtian",70.6,66,"4002;4002",21.049999,46.116669,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Dromaeosauridae","indet.",NA,NA,NA,NA,NA,NA
"1:2",220011,"occurrence",22657,"Velociraptor sp.","genus",38564,"Velociraptor","genus",38564,"Late Campanian",83.5,70.6,"5721;5721",-111.524582,50.727234,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Velociraptor","sp.","Velociraptor",38564,NA,NA,NA,NA
"1:3",220090,"occurrence",22685,"Velociraptor mongoliensis","species",54554,"Velociraptor mongoliensis","species",54554,"Late Campanian",83.5,70.6,"63431;63431",103.333336,44.25,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Velociraptor","mongoliensis","Velociraptor",38564,NA,NA,NA,NA
"1:4",220191,"occurrence",22713,"Dromaeosauridae cf. indet.","family",38561,"Dromaeosauridae","family",38561,"Aptian",125,113,"7600;7600",-98.476303,31.9722,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Dromaeosauridae","indet.",NA,NA,13289,"cf.",NA,NA
"1:5",248041,"occurrence",14462,"Dromaeosaurus albertensis","species",54550,"Dromaeosaurus albertensis","species",54550,"Middle Campanian",83.5,70.6,"13591;13591",-109.297203,46.465099,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Dromaeosaurus","albertensis","Dromaeosaurus",38566,13131,NA,"Late Campanian",NA
"1:6",248042,"occurrence",14462,"Saurornitholestes langstoni","species",54556,"Saurornitholestes langstoni","species",54556,"Middle Campanian",83.5,70.6,"13591;13591",-109.297203,46.465099,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Saurornitholestes","langstoni","Saurornitholestes",38567,13132,NA,"Late Campanian",NA
"1:7",248044,"occurrence",14462,"Richardoestesia gilmorei","species",58874,"Richardoestesia gilmorei","species",58874,"Middle Campanian",83.5,70.6,"13591;13591",-109.297203,46.465099,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Richardoestesia","gilmorei","Richardoestesia",58873,13134,NA,"Late Campanian",NA
"1:8",248060,"occurrence",14437,"Dromaeosaurus albertensis","species",54550,"Dromaeosaurus albertensis","species",54550,"Middle Campanian",83.5,70.6,"13752;13752",-109.900002,46.200001,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Dromaeosaurus","albertensis","Dromaeosaurus",38566,NA,NA,"Late Campanian",NA
"1:9",248061,"occurrence",14437,"Saurornitholestes langstoni","species",54556,"Saurornitholestes langstoni","species",54556,"Middle Campanian",83.5,70.6,"13752;13752",-109.900002,46.200001,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Saurornitholestes","langstoni","Saurornitholestes",38567,NA,NA,"Late Campanian",NA
"1:10",248063,"occurrence",14437,"Richardoestesia gilmorei","species",58874,"Richardoestesia gilmorei","species",58874,"Middle Campanian",83.5,70.6,"13752;13752",-109.900002,46.200001,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Richardoestesia","gilmorei","Richardoestesia",58873,NA,NA,"Late Campanian",NA
