"","occurrence_no","record_type","reid_no","collection_no","taxon_name","taxon_rank","taxon_no","matched_name","matched_rank","matched_no","early_interval","early_age","late_age","reference_no","lng","lat","genus","genus_no","family","family_no","order","order_no","class","class_no","phylum","phylum_no","genus_name","species_name","species_reso","genus_reso","late_interval"
"1:1",139242,"occurrence",24752,11890,"Gorgosaurus sternbergi n. sp.","species",63900,"Gorgosaurus libratus","species",53194,"Late Campanian",83.5,70.6,"13165;13165",-111.528732,50.740726,"Gorgosaurus",53193,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Gorgosaurus","sternbergi","n. sp.",NA,NA
"1:2",139250,"occurrence",23301,11893,"Gorgosaurus libratus","species",53194,"Gorgosaurus libratus","species",53194,"Late Campanian",83.5,70.6,"4205;4205",-111.549347,50.737015,"Gorgosaurus",53193,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Gorgosaurus","libratus",NA,NA,NA
"1:3",139252,"occurrence",23302,11895,"Gorgosaurus libratus","species",53194,"Gorgosaurus libratus","species",53194,"Late Campanian",83.5,70.6,"4205;4205",-111.564636,50.723866,"Gorgosaurus",53193,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Gorgosaurus","libratus",NA,NA,NA
"1:4",139253,"occurrence",18699,11896,"Gorgosaurus libratus","species",53194,"Gorgosaurus libratus","species",53194,"Late Campanian",83.5,70.6,"4205;4205",-111.525337,50.740471,"Gorgosaurus",53193,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Gorgosaurus","libratus",NA,NA,NA
"1:5",139254,"occurrence",13634,11897,"Gorgosaurus n. gen. libratus n. sp.","species",53194,"Gorgosaurus libratus","species",53194,"Late Campanian",83.5,70.6,"17547;17547",-111.601021,50.786999,"Gorgosaurus",53193,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Gorgosaurus","libratus","n. sp.","n. gen.",NA
"1:6",139255,"occurrence",18015,11898,"Albertosaurus sarcophagus","species",56319,"Albertosaurus sarcophagus","species",56319,"Maastrichtian",72.1,66,"9259;9259",-112.981903,51.8046,"Albertosaurus",38607,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Albertosaurus","sarcophagus",NA,NA,NA
"1:7",139256,"occurrence",30781,11899,"Albertosaurus sarcophagus","species",56319,"Albertosaurus sarcophagus","species",56319,"Early Maastrichtian",70.6,66,"4205;4205",-112.981903,51.819099,"Albertosaurus",38607,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Albertosaurus","sarcophagus",NA,NA,NA
"1:8",139257,"occurrence",NA,11900,"Albertosaurus arctunguis n. sp.","species",63710,"Albertosaurus sarcophagus","species",56319,"Late Campanian",83.5,70.6,"12347;12347",-112.818901,51.542702,"Albertosaurus",38607,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Albertosaurus","arctunguis","n. sp.",NA,NA
"1:9",139258,"occurrence",18014,11901,"Albertosaurus n. gen. sarcophagus n. sp.","species",56319,"Albertosaurus sarcophagus","species",56319,"Late Campanian",83.5,70.6,"9259;9259",-112.8423,51.469898,"Albertosaurus",38607,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Albertosaurus","sarcophagus","n. sp.","n. gen.",NA
"1:10",139259,"occurrence",NA,11902,"Albertosaurus sarcophagus","species",56319,"Albertosaurus sarcophagus","species",56319,"Late Campanian",83.5,70.6,"4205;4205",-112.702202,51.4408,"Albertosaurus",38607,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Albertosaurus","sarcophagus",NA,NA,NA
"1:11",139261,"occurrence",NA,11903,"Daspletosaurus torosus","species",57258,"Daspletosaurus torosus","species",57258,"Late Campanian",83.5,70.6,"4205;4205",-110.681999,49.083698,"Daspletosaurus",38608,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Daspletosaurus","torosus",NA,NA,NA
"1:12",139290,"occurrence",23303,11915,"Daspletosaurus n. gen. torosus n. sp.","species",57258,"Daspletosaurus torosus","species",57258,"Middle Campanian",83.5,70.6,"4205;4205",-111.485008,50.751526,"Daspletosaurus",38608,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Daspletosaurus","torosus","n. sp.","n. gen.",NA
"1:13",139291,"occurrence",30120,11916,"Albertosaurus sp.","genus",38607,"Albertosaurus","genus",38607,"Early Maastrichtian",70.6,66,"51906;51906",-112.934799,51.928299,"Albertosaurus",38607,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Albertosaurus","sp.",NA,NA,NA
"1:14",139292,"occurrence",22878,11917,"Tyrannosaurus rex","species",54833,"Tyrannosaurus rex","species",54833,"Maastrichtian",72.1,66,"4218;4218",-113.0289,51.906399,"Tyrannosaurus",38613,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tyrannosaurus","rex",NA,NA,NA
"1:15",139293,"occurrence",NA,11918,"Tyrannosaurus cf. rex","species",54833,"Tyrannosaurus rex","species",54833,"Maastrichtian",72.1,66,"4205;4205",-113.23333,51.933334,"Tyrannosaurus",38613,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tyrannosaurus","rex",NA,"cf.",NA
"1:16",148629,"occurrence",NA,13108,"Tarbosaurus bataar","species",57254,"Tarbosaurus bataar","species",57254,"Maastrichtian",72.1,66,"4373;4373",99.599998,43.540001,"Tarbosaurus",53224,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tarbosaurus","bataar",NA,NA,NA
"1:17",219998,"occurrence",NA,22654,"Tyrannosaurus rex","species",54833,"Tyrannosaurus rex","species",54833,"Late Campanian",83.5,70.6,"5922;5922",-111.525871,50.728848,"Tyrannosaurus",38613,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tyrannosaurus","rex",NA,NA,NA
"1:18",220009,"occurrence",NA,22657,"Tyrannosaurus rex","species",54833,"Tyrannosaurus rex","species",54833,"Late Campanian",83.5,70.6,"5721;5721",-111.524582,50.727234,"Tyrannosaurus",38613,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tyrannosaurus","rex",NA,NA,NA
"1:19",220028,"occurrence",NA,22659,"Albertosaurus libratus","species",57255,"Gorgosaurus libratus","species",53194,"Late Campanian",83.5,70.6,"5924;5924",-111.484657,50.750553,"Gorgosaurus",53193,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Albertosaurus","libratus",NA,NA,NA
"1:20",220029,"occurrence",NA,22659,"Tyrannosauridae indet.","family",38606,"Tyrannosauridae","family",38606,"Late Campanian",83.5,70.6,"5924;5924",-111.484657,50.750553,NA,NA,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tyrannosauridae","indet.",NA,NA,NA
"1:21",220100,"occurrence",33242,22689,"Daspletosaurus horneri","species",351539,"Daspletosaurus horneri","species",351539,"Late Santonian",85.8,70.6,"62031;62031",-113.75,48.633301,"Daspletosaurus",38608,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Daspletosaurus","horneri",NA,NA,"Early Campanian"
"1:22",248618,"occurrence",NA,14616,"Tyrannosauridae indet.","family",38606,"Tyrannosauridae","family",38606,"Lancian",70.6,66,"1987;1987",-107.383331,47.633331,NA,NA,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tyrannosauridae","indet.",NA,NA,NA
"1:23",256788,"occurrence",33070,24915,"Tyrannosauridae indet.","family",38606,"Tyrannosauridae","family",38606,"Late Campanian",83.5,70.6,"6989;6989",-110.76667,31.666668,NA,NA,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tyrannosauridae","indet.",NA,NA,NA
"1:24",266837,"occurrence",NA,25658,"Tyrannosauridae indet.","family",38606,"Tyrannosauridae","family",38606,"Middle Campanian",83.5,70.6,"7156;7156",-112.966667,48.650002,NA,NA,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tyrannosauridae","indet.",NA,NA,NA
